unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
SDTc;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed, 
SDMDpe;0,Minor,Sedimentary,Chemical,Chert,,,Chert,Bed ,
SDTo;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDTb;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDTb;0,Major,Sedimentary,Clastic,Sandstone,Arkose,,Arkose,Bed ,
SDTa;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDTa;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDTa;0,Minor,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDTa;0,Minor,Igneous,Volcanic,,,,Volcanic,Volcaniclastic ,
SDTa;0,Minor,Sedimentary,Carbonate,Marlstone,,,Marlstone,Bed ,
SDTw;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDTw;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,Bed ,
SDTw;0,Major,Sedimentary,Clastic,Mudstone,Claystone,,Claystone,Bed ,
SDTw;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,Bed ,
SDTw;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,Bed ,
SDTp;0,Major,Igneous,Hypabyssal,Felsic-hypabyssal,Hypabyssal-felsic-alkaline,,Hypabyssal-felsic-alkaline,Dike or sill,Phonolite 
SDTp;0,Major,Igneous,Hypabyssal,Felsic-hypabyssal,Hypabyssal-trachyte,,Hypabyssal-trachyte,Laccolith, 
SDTt;0,Major,Igneous,Hypabyssal,Felsic-hypabyssal,Hypabyssal-trachyte,,Hypabyssal-trachyte,Stock or pipe, 
SDTt;0,Major,Igneous,Hypabyssal,Felsic-hypabyssal,Hypabyssal-quartz-trachyte,,Hypabyssal-quartz-trachyte,Laccolith, 
SDTt;0,Major,Igneous,Hypabyssal,Felsic-hypabyssal,Hypabyssal-rhyolite,,Hypabyssal-rhyolite,Dike or sill, 
