state,orig_label,map_sym1,map_sym2,unit_link,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
SD  ,Kbs,Kbs,Kbs;0,SDKbs;0,0,,"Belle Fourche Shale, Mowry Shale, Newcastle Sandstone,and Skull Creek Shale",Phanerozoic | Mesozoic | Cretaceous-Early Cretaceous-Middle(?) Cretaceous-Late,Note: see individual unit descriptions,,,SD001,shale,siltstone,claystone; sandstone; limestone; clay or mud,SD001 ,
SD  ,Kb,Kb,Kb;0,SDKb;0,0,,Belle Fourche Shale,Phanerozoic | Mesozoic | Cretaceous-Late,"Dark-gray to black bentonitic shale containing minor limestone lenses, bentonite layers, fossiliferous calcarenite, and large, ferruginous, carbonate concretions. Thickness 150-350 ft (46-107 m).",,,SD001,shale,limestone,clay or mud,SD001 ,
SD  ,Wgr,Wgr,Wgr;0,SDWgr;0,0,,Granite,Archean ,"Pink and gray, strongly foliated, medium- to coarse-crystalline, locally pegmatitic, biotite-muscovite granite and gneissic granite. ",,,SD001,granite,,,SD001 ,
SD  ,Wos,Wos,Wos;0,SDWos;0,0,,Older Metasedimentary Rocks,Archean ,"Gray phyillite, mica schist, and biotite-plagioclase schist. Total thickness unknown; approximately 500 ft (152 m) exposed.",,,SD001,phyllite,schist,,SD001 ,
SD  ,Xq,Xq,Xq;0,SDXq;0,0,,Metaquartzite,Proterozoic | Paleoproterozoic,"Light-tan quartzite, siliceous schist, and minor chert. Thickness 800-5,000 ft (244-1,524 m).",,,SD001,quartzite,schist,chert,SD001 ,
SD  ,DAM,dam,dam;0,SDdam;0,0,,Dam,None,,,,SD001,indeterminate,,,SD001 ,
SD  ,Wm,Wm,Wm;0,SDWm;0,0,,Milbank Granite,Archean ,"Pink to dark-red, coarse-crystalline granite composed of orthoclase, quartz, and biotite.",,,SD001,granite,,,SD001 ,
SD  ,Qlot,Qlot,Qlot;0,SDQlot;0,0,,"Outwash, Terrace",Phanerozoic | Cenozoic | Quaternary | Pleistocene [Upper Wisconsin],Heterogeneous clay to gravel of glaciofluvial orgin. Thickness up to 60 ft (18m),,,SD001,clay or mud,silt,sand; gravel,SD001 ,
SD  ,Jms,Jms,Jms;0,SDJms;0,0,,"Morrison Formation, Unkpapa Sandstone, Sundance Formation, and Gypsum Spring Formation",Phanerozoic | Mesozoic | Jurassic-Middle Jurassic-Late,"Morrison Formation (Late Jurassic)- Light-gray to green and variegatedred, brown, yellow, or lavender, silceous claystone, shale, and siltstone containing interbedded sandstone and fresh-water limestone lenses. Thickness up to 150 ft (46 m). Unkpapa Sandstone (Late Jurassic)- White, massive to thin-bedded, fine-grained, argillaceous sandstone. May be variegated to banded red, yellow, brown, or lavender. Thickness up to 267 ft (81 m). Sundance Formation (Late to Middle Jurassic)- Greenish-gray, yellow, tan, red to orange, and white, variegated, interbedded, fine- to coarse-grained sandstone, siltstone, clay, and limestone. Thickness 250-350 ft (76-107 m). Gypsum Springs Formation (Middle Jusassic)- Massive white gypsum and minor maroon siltstone and shale. Thickness up to 40 ft (12 m).",,,SD001,sandstone,siltstone,claystone; clay or mud; shale; limestone; evaporite,SD001 ,
SD  ,Kc,Kc,Kc;0,SDKc;0,0,,Carlile Shale,Phanerozoic | Mesozoic | Cretaceous-Late,"Dark-gray to black, silty to sandy shale with several zones of septarian, fossiliferous, carbonate concertions. Contains up to three sandstone beds near the middle of the formation and sandy calcareous marl at the base. Thickness 345-620 ft (105-189 m).",,,SD001,shale,sandstone,limestone,SD001 ,
SD  ,Kfh,Kfh,Kfh;0,SDKfh;0,0,,Fox Hills Sandstone,Phanerozoic | Mesozoic | Cretaceous-Late,"Bluish-green to green, white to dark-gray, yellow to tan, carbonaceous and iron-stained, cross-bedded, very fine- to coarse-grained, glaconitic sandstone and siltstone. Interbedded with gray and green to brown shale and silty shale. Thickness 25-400 ft (8-122 m).",,,SD001,sandstone,siltstone,shale,SD001 ,
SD  ,Kfl,Kfl,Kfl;0,SDKfl;0,0,,Inyan Kara Group,Phanerozoic | Mesozoic | Cretaceous-Early ,"Includes: Fall River Formation- Variegated brown, red, gray to purple, calcareous, well-sorted, fine-grained sandstone, siltstone, and shale containing mica flakes. Thickness 100-200 ft (30-61 m). Lakota Formation- Yellow, brown, red-brown, gray to black silty shale, pebble conglomerate, and massive to thin-bedded, cross-bedded sandstone. Locally interbedded with fresh-water limestone and bituminous coal beds. Thickness 35-500 ft (11-152 m).",,,SD001,shale,sandstone,conglomerate; siltstone; limestone; coal,SD001 ,
SD  ,Kg,Kg,Kg;0,SDKg;0,0,,Greenhorn Formation,Phanerozoic | Mesozoic | Cretaceous-Late,"Gray shale, mudstone, marl, calcarenite, and shaley limestone grading upward into light-gray to tan, alternating marl and thin-bedded, fossiliferous limestone. Thickness 225-315 ft (69-96 m).",,,SD001,shale,mudstone,limestone,SD001 ,
